                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                 2.0973,                 2.0612,                 2.5291,                0.62997,                  0.375,                0.18159,                0.04904,                 1.9196,                 5.1646,                 2.7254,              0.0012049,              0.0012049,              0.0012049
                     86,                 1.9224,                 2.0476,                 2.5798,                0.62356,                  0.375,                0.22046,                0.05913,                  1.944,                 6.3289,                 2.7532,              0.0011994,              0.0011994,              0.0011994
                     87,                 1.8505,                   2.07,                 2.5045,                0.57796,                  0.375,                0.26092,                0.06104,                  2.062,                 8.0763,                 2.8922,              0.0011939,              0.0011939,              0.0011939
                     88,                  1.983,                 2.0707,                 2.5555,                0.57796,                  0.375,                0.26092,                0.06104,                  2.062,                 8.0763,                 2.8922,              0.0011884,              0.0011884,              0.0011884
                     89,                 1.9813,                 2.0703,                 2.6394,                0.59853,                0.24587,                0.26778,                  0.048,                 2.1583,                  8.906,                 2.9291,              0.0011829,              0.0011829,              0.0011829
                     90,                 1.8404,                 2.0267,                 2.4296,                0.55591,                  0.125,                0.11175,                0.03073,                 2.1698,                 7.0792,                 2.8824,              0.0011774,              0.0011774,              0.0011774
                     91,                 1.8592,                 1.9915,                 2.5023,                0.66578,                  0.375,                0.26444,                 0.0679,                 2.3014,                 4.9653,                  2.979,              0.0011719,              0.0011719,              0.0011719
                     92,                 2.0232,                 2.0516,                 2.6199,                0.66578,                  0.375,                0.26444,                 0.0679,                 2.3014,                 4.9653,                  2.979,              0.0011664,              0.0011664,              0.0011664
                     93,                 1.7896,                 1.9872,                  2.544,                0.87098,                  0.375,                0.40525,                0.12138,                 1.9383,                 4.6214,                 2.7459,              0.0011609,              0.0011609,              0.0011609
                     94,                 1.9824,                 2.1776,                 2.6327,                0.86574,                  0.375,                0.46101,                0.16691,                 1.8143,                  3.895,                 2.6915,              0.0011554,              0.0011554,              0.0011554
                     95,                 1.8182,                 1.9625,                 2.4864,                0.94164,                  0.375,                0.47756,                0.17137,                  1.895,                 3.4472,                 2.6844,              0.0011499,              0.0011499,              0.0011499
                     96,                 1.8025,                 1.8149,                 2.5066,                0.94164,                  0.375,                0.47756,                0.17137,                  1.895,                 3.4472,                 2.6844,              0.0011444,              0.0011444,              0.0011444
                     97,                 1.8921,                 1.8801,                 2.4874,                 0.4283,                  0.375,                0.43894,                0.15566,                 2.1028,                 3.3066,                 2.7941,              0.0011389,              0.0011389,              0.0011389
                     98,                 1.7182,                 1.8128,                 2.3852,                0.34045,                   0.25,                0.36631,                0.12132,                 2.2761,                 3.2649,                 2.9482,              0.0011334,              0.0011334,              0.0011334
                     99,                 1.8053,                 1.7498,                 2.4513,                0.36119,                0.54167,                0.53996,                0.14679,                 2.0046,                 2.7614,                 2.7787,              0.0011279,              0.0011279,              0.0011279
                    100,                 1.7461,                  1.721,                 2.4255,                0.36119,                0.54167,                0.53996,                0.14679,                 2.0046,                 2.7614,                 2.7787,              0.0011224,              0.0011224,              0.0011224
                    101,                 1.8343,                 1.8325,                  2.385,                0.51651,                0.66667,                 0.6674,                0.15188,                 2.0803,                 2.6526,                 2.9054,              0.0011169,              0.0011169,              0.0011169
                    102,                 1.8861,                 1.9116,                 2.5391,                 0.5403,                0.58333,                0.75485,                0.17834,                  2.112,                 2.6144,                 3.0007,              0.0011114,              0.0011114,              0.0011114
